seq1	lang1	label1
hart 's war seems to want to be a character study , but apparently ca n't quite decide which character	en	0
smaller numbered kid@@ lets will enjoy	en	1
offers no new insight on the matter , nor do its characters exactly spring to life	en	0
i 'm convinced i could keep a family of five blind , crip@@ pled , amish people alive in this situation better than these british soldiers do at keeping themselves kicking	en	0
the connected stories of bre@@ it@@ bart and han@@ u@@ ssen are actually fascinating , but the film@@ making in inv@@ inci@@ ble is such that the movie does not do them justice	en	0
the characters are more deeply thought through than in most ' right thinking ' films	en	1
these characters are so well established that the gang feels comfortable with taking insane liberties and doing the goo@@ fi@@ est stuff out of left field , and i 'm all for that	en	1
with a completely predictable plot , you 'll swear that you 've seen it all before , even if you 've never come within a mile of the longest yard	en	0
the jokes are sophom@@ oric , stereotypes are spr@@ inkled everywhere and the acting ranges from bad to bod@@ acious	en	0
cho 's latest comic set is n't as sharp or as fresh as i 'm the one that i want but it 's still damn funny stuff	en	1
much has been written about those years when the psychedelic '@@ 60s groo@@ ved over into the gay '@@ 70s , but words do n't really do the era justice	en	1
one of the best looking and sty@@ lish animated movies in quite a while	en	1
light the candles , bring out the cake and do n't fre@@ t about the cal@@ ories because there 's precious little substance in birthday girl it 's simply , and surprisingly , a nice , light treat	en	1
it 's good , hard edged stuff , violent and a bit explo@@ itative but also nicely done , mor@@ ally alert and street smart	en	1
say@@ les once again strands his superb performers in the same old story	en	0
high crimes carries almost no organic intri@@ gue as a government marine legal mystery , and that 's because the movie serves up all of that stuff , nearly subli@@ min@@ ally , as the old hat province of male intri@@ gue	en	0
nicole kid@@ man makes it a party worth attending	en	1
bog@@ dan@@ ovich puts history in perspective and , via kir@@ sten dun@@ st 's remarkable performance , he show@@ cases davies as a young woman of great charm , gener@@ osity and diplomacy	en	1
the gentle comic treatment of adolescent stur@@ m und d@@ rang should please fans of chris fu@@ hr@@ man 's posthumously published cult novel	en	1
shat@@ ner is probably the fun@@ ni@@ est person in the film , which gives you an idea just how bad it was	en	0
this is a frag@@ mented film , once a good idea that was followed by the bad idea to turn it into a movie	en	0
there 's some outrag@@ e@@ ously creative action in the transpor@@ ter l@@ rb b rr@@ b ut by the time frank parach@@ utes down onto a moving truck , it 's just another cartoon with an un@@ stop@@ pable superman	en	0
for those of an indul@@ gent , slightly sun@@ baked and summer@@ y mind , sex and lucia may well prove diver@@ ting enough	en	1
it might be ' easier ' to watch on video at home , but that should n't stop die hard french film con@@ no@@ is@@ se@@ urs from going out and enjoying the big screen experience	en	1
l@@ rb reno rr@@ b delivers a mono@@ logue that manages to incorporate both the horror and the absur@@ dity of the situation in a well balanced fashion	en	1
rich in atmosphere of the post war art world , it manages to instruc@@ t without re@@ eking of research library dust	en	1
more good than great but freeman and judd make it work	en	1
it 's nice to see pis@@ cop@@ o again after all these years , and chay@@ kin and head@@ ly are pric@@ eless	en	1
never again , while nothing special , is pleasant , diver@@ ting and modest definitely a step in the right direction	en	1
if the last man were the last movie left on earth , there would be a toss up between presiding over the end of cinema as we know it and another night of deligh@@ tful hand shadows	en	0
she is a lion@@ ess , protecting her cu@@ b , and he a reluctant villain , incapable of controlling his crew	en	1
this is an interesting movie ! " 	en	1
it 's simply stupid , irrelevant and deeply , truly , bottom@@ lessly cyn@@ ical	en	0
the movie is almost completely lacking in suspen@@ se , surprise and consistent emotional conviction	en	0
the characters are so generic and the plot so bland that even as rogue cia assassins working for chris cooper 's agency boss close in on the re@@ sour@@ ce@@ ful amne@@ si@@ ac , we do n't feel much for damon bourne or his pre@@ di@@ cam@@ ent	en	0
like a can of 2 day old coke	en	0
this master@@ fully cali@@ br@@ ated psychological thriller thri@@ ves on its taut performances and creepy atmosphere even if the screenplay falls somewhat short	en	1
yes , i suppose it 's lovely that cal works out his issues with his dad and comes to terms with his picture perfect life but world traveler gave me no reason to care , so i did n't	en	0
that the film opens with mag@@ go@@ ts crawling on a dead dog is not an out of place metaphor	en	0
if the plot seems a bit on the skinny side , that 's because panic room is interested in nothing more than sucking you in and making you sweat	en	1
drum@@ line ably captures the complicated relationships in a marching band	en	1
the entire cast is first rate , especially sor@@ vin@@ o	en	1
it 's a drag how ne@@ tt@@ el@@ beck sees working women or at least this working woman for whom she shows little understanding	en	0
nothing about this movie works	en	0
a soli@@ dly entertaining little film	en	1
l@@ rb " safe conduct " rr@@ b is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intri@@ gue , partisans and sabotage	en	1
although mainstream american movies tend to exploit the familiar , every once in a while a film arrives from the margin that gives viewers a chance to learn , to grow , to travel	en	1
a hit and miss affair , consistently amusing but not as outrag@@ eous or funny as cho may have intended or as imagin@@ ative as one might have hoped	en	0
this is an exercise in chil@@ ling style , and tw@@ o@@ hy films the sub , inside and out , with an eye on preserving a sense of mystery	en	1
hey everybody , w@@ anna watch a movie in which a guy dressed as a children 's party clown gets violently gang raped ?	en	0
it makes compelling , provoc@@ ative and pres@@ ci@@ ent viewing	en	1
a fla@@ wed but eng@@ ro@@ ssing thriller	en	1
never comes together as a coherent whole	en	0
a decided lack of spon@@ tane@@ ity in its execution and a dear@@ th of real po@@ ig@@ nancy in its epi@@ phan@@ ies	en	0
what sets ms bi@@ rot 's film apart from others in the genre is a greater attention to the parents and particularly the f@@ ateful fathers in the emotional evolution of the two be@@ wit@@ ched adole@@ scents	en	1
like most of jag@@ lo@@ m 's films , some of it is honestly affecting , but more of it seems cont@@ ri@@ ved and secon@@ d@@ hand	en	0
it 's a wise and powerful tale of race and culture forcefully told , with superb performances throughout	en	1
one of those terri@@ fic documentaries that collect a bunch of people who are enthusiastic about something and then figures out how to make us share their enthusiasm	en	1
not only are the film 's sop@@ ran@@ os gag@@ s incredibly dated and un@@ funny , they also demonstrate how desperate the makers of this ' we 're doing it for the cash ' sequel were	en	0
i have to admit that i am ba@@ ffled by jason x	en	0
the film gets close to the chi@@ mps the same way good@@ all did , with a serious minded patience , respect and affection	en	1
a rip off twice removed , modeled after l@@ rb seag@@ al 's rr@@ b earlier copy@@ cat under siege , sometimes referred to as die hard on a boat	en	0
ms se@@ ig@@ ner and mr ser@@ ra@@ ult bring fresh , un@@ forced natur@@ alism to their characters	en	1
that 's mu@@ y loc@@ o , but no more ridiculous than most of the rest of " dragon@@ fly " 	en	0
but the movie that does n't really deliver for country music fans or for family audiences	en	0
if you answered yes , by all means enjoy the new guy	en	1
generates an enormous feeling of emp@@ athy for its characters	en	1
the low key direction is pleas@@ ingly em@@ ph@@ atic in this properly intense , clau@@ stro@@ pho@@ bic tale of obse@@ ssive love	en	1
those prone to indi@@ g@@ nation need not apply those susceptible to blue hi@@ lar@@ ity , step right up	en	1
an intriguing look at the french film industry during the german occupation its most deligh@@ tful moments come when various characters express their quir@@ ky inner selves	en	1
would make an excellent companion piece to the similarly themed ' the french lieutenant 's woman '	en	1
if you like quir@@ ky , odd movies and or the ironic , here 's a fun one	en	1
no french people were harmed during the making of this movie , but they were insulted and the audience was put through torture for an hour and a half	en	0
woody allen can write and deliver a one liner as well as anybody	en	1
the most consistently funny of the austin powers films	en	1
it 's both degrad@@ ing and strangely liber@@ ating to see people working so hard at leading lives of sexy intri@@ gue , only to be revealed by the disp@@ assi@@ onate g@@ ant@@ z brothers as ordinary , pa@@ sty lu@@ mp@@ en	en	1
paid in full is remarkably engaging despite being notic@@ eably derivative of good@@ fell@@ as and at least a half dozen other trouble in the ghetto flic@@ ks	en	1
the plot has a number of holes , and at times it 's simply ba@@ ffling	en	0
the re@@ deem@@ ing feature of chan 's films has always been the action , but the stun@@ ts in the tu@@ x@@ edo seem tired and , what 's worse , routine	en	0
amaz@@ ingly lame	en	0
not even fel@@ in@@ ni would know what to make of this italian fre@@ ak@@ show	en	0
gar@@ c a ber@@ nal and tal@@ anc n are an immensely appealing couple , and even though their story is predictable , you 'll want things to work out	en	1
but certainly hard to hate	en	1
finely crafted , finely written , exqu@@ is@@ itely performed	en	1
parker can not sustain the bu@@ oy@@ ant energy level of the film 's city beginnings into its country conclusion '	en	0
the story is a rather simpli@@ stic one grief drives her , love drives him , and a second chance to find love in the most unlikely place it struck a chord in me	en	1
a co@@ cke@@ yed shot all the way	en	0
clare pe@@ plo@@ e 's air@@ less movie adaptation could use a little american pie like ir@@ rever@@ ence	en	0
a wo@@ e@@ fully dull , redundant concept that bears more than a whi@@ ff of exploitation , despite i@@ wai 's va@@ un@@ ted emp@@ athy	en	0
a cu@@ tes@@ y romantic tale with a twist	en	1
about one in three gag@@ s in white 's intermit@@ tently wise script hits its mark the rest are pad@@ ding un@@ ash@@ am@@ edly appropri@@ ated from the teen exploitation play@@ book	en	0
it plo@@ ds along metho@@ dically , somehow under the assumption that its " dead wife communicating from beyond the grave " framework is even remotely new or interesting	en	0
give credit to everyone from robinson down to the key grip that this bold move works	en	1
enough said , except film over@@ board !	en	0
a suffoc@@ ating rape pay@@ back horror show that hing@@ es on the sub@@ genre 's most enabling victim and an e@@ bul@@ li@@ ent affection for industrial model meat free@@ zers	en	1
while we no longer possess the lack of attention span that we did at seventeen , we had no trouble sitting for blade ii	en	1
a coll@@ age of cli@@ ch s and a dim echo of allu@@ sions to other films	en	0
combine the paranoid clau@@ stro@@ pho@@ bia of a submarine movie with the un@@ settling spo@@ ok@@ iness of the supernatural why did n't hollywood think of this sooner ?	en	1
if damon and aff@@ lec@@ k attempt another project green@@ light , next time out they might try paying less attention to the miniseries and more attention to the film it is about	en	0
the screenplay by james eric , james horton and director peter o'@@ fallon is so pat it makes your teeth hurt	en	0
i 'm giving it thumbs down due to the end@@ lessly repetitive scenes of embarrassment	en	0
not only does le@@ blanc make one spectac@@ ularly ugly looking broad , but he appears miserable throughout as he sw@@ ag@@ gers through his scenes	en	0
an elegant work , food of love is as consistently engaging as it is revealing	en	1
the pain , loneliness and in@@ security of the screen@@ writing process are vivi@@ dly and painfully brought to sloven@@ ly life in this self de@@ prec@@ ating , biting and wit@@ ty feature written by charlie kau@@ fman and his twin brother , donald , and directed by spike jon@@ ze	en	1
